speaker,utt_id,utterance,emotion,sentiment,eda1,eda2,eda3,eda4,eda5,EDA,all_match,con_match,match
b'Phoebe',2,b'What?!',surprise,negative,qw,qy,br,qw,qw,qw,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Phoebe',3,b'He was with her when he wrote this poem.',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Phoebe',4,"b""Look,  'My vessel so empty with nothing inside.""",neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Phoebe',5,"b""Now that I've touched you, you seem emptier still.'""",neutral,neutral,sd,sv,sd,qy^d,sv,sd,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Phoebe',6,"b'He thinks Monica is empty, she is the empty vase!'",surprise,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Phoebe',8,"b'Oh, totally. Oh, God, oh, she seemed so happy too.'",sadness,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Joey',9,b'Done.',neutral,neutral,aa,sd,bf,sd,ba,xx,AllNotMatch,NotConMatch,NotMatch
b'Rachel',0,b'Hey!',surprise,positive,ba,ba,ba,ba,ba,ba,AllMatch,NotConMatch,NotMatch
b'Ross',1,b'Hi!',joy,positive,fp,fp,fp,fp,fc,fp,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Rachel',2,b'What are you doing here?',surprise,positive,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ross',3,"b""Ah y'know, this building is on my paper route so I...""",neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Rachel',4,b'Oh.',neutral,neutral,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ross',5,b'Hi.',neutral,neutral,fp,fp,fp,fp,ba,fp,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Rachel',6,b'Hi.',neutral,neutral,fp,fp,fp,fp,ba,fp,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ross',7,b'How\xc2\x92d did it go?',neutral,neutral,qy,qy,fp,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Rachel',8,"b""Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn\xc2\x92t shut up.""",joy,positive,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ross',9,b'I\xc2\x92m so proud of you.',joy,positive,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Rachel',10,b'Me too!',joy,positive,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ross',11,"b'Listen, I\xc2\x92m ah, I\xc2\x92m sorry I\xc2\x92ve been so crazy and jealous and, it\xc2\x92s just that I like you a lot, so...'",sadness,negative,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Rachel',12,b'I know.',neutral,neutral,sd,sd,aa,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ross',13,b'Yeah.',neutral,neutral,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Rachel',14,b'Yeah.',neutral,neutral,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Phoebe',0,b'Ameri-can.',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Joey',1,b'Ameri-ccan.',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Phoebe',2,"b""Ameri-can. Y'know it\xc2\x92s a""",neutral,neutral,sd,sd,sd,b^m,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Sergei',3,b'Everybody!!',surprise,positive,ba,^q,ba,qy^d,sd,xx,AllNotMatch,NotConMatch,NotMatch
b'Chandler',0,b'Good job Joe! Well done! Top notch!',joy,positive,fc,^2,ba,t3,fc,xx,AllNotMatch,NotConMatch,NotMatch
b'Joey',1,b'You liked it? You really liked it?',surprise,positive,qy^d,qy,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Chandler',2,"b'Oh-ho-ho, yeah!'",joy,positive,b,b,ny,ny,nn,ny,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Joey',3,b'Which part exactly?',neutral,neutral,qw,qw,qw,qw,b,qw,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Chandler',4,b'The whole thing! Can we go?',neutral,neutral,sd,qy,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Joey',5,"b'Oh no-no-no, give me some specifics.'",anger,negative,aa,ar,^q,^h,nn,xx,AllNotMatch,NotConMatch,NotMatch
b'Chandler',6,"b'I love the specifics, the specifics were the best part!'",joy,positive,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Joey',7,"b'Hey, what about the scene with the kangaroo? Did-did you like that part?'",neutral,neutral,qw,qy,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Chandler',8,b'I was surprised to see a kangaroo in a World War I epic.',surprise,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Joey',9,b'You fell asleep!!',anger,negative,qy^d,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Joey',10,b'There was no kangaroo!',anger,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Joey',11,b'They didn\xc2\x92t take any of my suggestions!',anger,negative,sd,sd,^q,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Joey',12,b'That\xc2\x92s for coming buddy.',neutral,neutral,sd,sd,bf,bf,fc,bf,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Joey',13,b'I\xc2\x92ll see you later.',neutral,neutral,sd,qy^d,fc,ad,fc,fc,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Chandler',14,b'Don\xc2\x92t go!',sadness,negative,sd,ad,ad,ad,fc,ad,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Chandler',15,b'I\xc2\x92m sorry.',sadness,negative,ba,sd,fc,fc,fc,fc,AllNotMatch,ConMatch,NotMatch
b'Chandler',16,b'I\xc2\x92m so sorry!',sadness,negative,fc,sd,fc,sd,fp,xx,AllNotMatch,NotConMatch,NotMatch
b'Chandler',17,b'Look!',surprise,negative,ba,ad,fc,ad,fc,fc,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Chandler',18,b'This guy fell asleep!',anger,negative,sd,sd,fc,^q,sd,sd,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Chandler',19,b'He fell asleep too!',anger,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Chandler',20,b'Be mad at him!',anger,negative,sv,^q,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Chandler',21,"b'Or, call an ambulance.'",anger,negative,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Joey',0,"b'Okay, look, I think we have to tell Rachel she messed up her dessert.'",neutral,neutral,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ross',1,"b'What?! What is with everybody? It\xc2\x92s Thanksgiving, not...Truth-Day!'",anger,negative,qw,qy,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Phoebe',0,"b'Yes, and it is my dying wish to have that ring.'",neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Phoebe',1,"b'See, if I\xc2\x92m not buried with that ring then my spirit is going to wander the nether world for all eternity'",neutral,neutral,sv,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Chandler',2,"b'Okay, that\xc2\x92s enough honey!'",neutral,neutral,"fo_o_fw_""_by_bc","fo_o_fw_""_by_bc",^q,^2,ba,xx,AllNotMatch,NotConMatch,NotMatch
b'Customer',3,b'I don\xc2\x92t know.  Let me see the ring.',neutral,neutral,sd,sd,sd,^h,ad,sd,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Chandler',4,"b'Great! Okay, here.'",joy,positive,ba,fc,fc,fc,fc,fc,AllNotMatch,ConMatch,NotMatch
b'Customer',5,b'All right.',neutral,neutral,"fo_o_fw_""_by_bc",fc,b,fc,fc,fc,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Chandler',6,b'Thank you. Thank you. Thank you!  And',joy,positive,fc,fc,ft,fc,fc,fc,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Chandler',0,"b""What've you been up to?""",neutral,neutral,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Jade',1,"b'Oh, you know, the usual, teaching aerobics, partying way too much.'",neutral,neutral,sd,sv,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Jade',2,"b'Oh, and in case you were wondering, those are my legs on the new James Bond poster.'",neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Chandler',3,b'Can you hold on a moment? I have another call.  I love her.',joy,positive,sd,ad,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ross',4,b'I know.',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Chandler',5,"b""I'm back.""",neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Jade',6,"b'So, are we gonna get together or what?'",neutral,neutral,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Chandler',7,"b""Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?""",neutral,neutral,qy,sd,^q,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Jade',8,"b""Great, I'll see you then.""",neutral,neutral,fc,fc,ad,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Chandler',9,b'Ok.  Ok. Having a phone has finally paid off.',joy,positive,sv,sd,fc,fc,fc,fc,AllNotMatch,ConMatch,NotMatch
b'Ross',10,"b'Even though you do do a good Bob impression, I\'m thinkin\' when she sees you tomorow, she\'s probably gonna realize, ""Hey, you\'re not Bob.""'",neutral,neutral,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Chandler',11,"b""I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.""",neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ross',12,b'Oh my god. You are pure evil.',disgust,negative,sv,sv,ba,^q,sv,xx,AllNotMatch,NotConMatch,NotMatch
b'Chandler',13,"b""Ok, pure evil , horny and alone . I've done this""",anger,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Phoebe',0,b'Nobody!',anger,negative,sd,aa,^q,sv,sd,sd,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Phoebe',1,b'Nobody respects the bucket!',anger,negative,sv,sv,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Phoebe',2,"b""You wouldn't believe what people put in here!""",anger,negative,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Phoebe',3,b'Look!',anger,negative,ba,ad,ad,ad,aa,ad,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Phoebe',4,"b'Okay, does this look like a garbage can to you?'",anger,negative,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Monica',5,b'No.',neutral,neutral,aa,nn,nn,nn,nn,nn,AllNotMatch,ConMatch,NotMatch
b'Ross',0,b'This is my wedding.',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Monica',1,"b'All right, y\xc2\x92know what? We really are late! Let\xc2\x92s go! Let\xc2\x92s go! Let\xc2\x92s go!!'",anger,negative,"fo_o_fw_""_by_bc",^q,^q,t3,qy,xx,AllNotMatch,NotConMatch,NotMatch
b'Ross',2,b'Fine. You\xc2\x92ll-you\xc2\x92ll watch it on video when we get back.',neutral,neutral,sd,sd,sd,ad,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Chandler',3,b'Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.',joy,positive,sd,ad,ad,fc,fc,fc,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Phoebe',4,b'Thank you.',neutral,neutral,ft,fc,^q,ft,fc,xx,AllNotMatch,NotConMatch,NotMatch
b'Phoebe',5,b'Thank you.',neutral,neutral,ft,fc,fc,fc,fc,fc,AllNotMatch,ConMatch,NotMatch
b'Ross',6,"b'All right, let\xc2\x92s go! Bye, Pheebs!'",joy,positive,fc,sd,fc,fc,fc,fc,AllNotMatch,ConMatch,NotMatch
b'Joey',7,"b'Bye, Pheebs!'",joy,positive,fc,fc,fc,fc,fc,fc,AllMatch,NotConMatch,NotMatch
b'Joey',8,b'London baby!!',joy,positive,sd,b^m,fc,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Phoebe',9,"b'Oh, do you need a hug? You don\xc2\x92t have to bring me anything!'",joy,positive,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Chandler',0,b'Hey!',neutral,neutral,ba,ba,ba,ba,nn,ba,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Joey',1,b'Hey! So Estelle lined up a bunch of auditions for me tomorrow and I\xc2\x92ll have my health insurance back in no time.',joy,positive,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Chandler',2,"b'That\xc2\x92s great, but shouldn\xc2\x92t you be on the toilet right now?'",disgust,negative,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Joey',3,b'What?!',surprise,negative,qw,qy,br,qw,br,br,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Chandler',4,b'What\xc2\x92s wrong with you?',disgust,negative,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Joey',5,b'Nothing!',neutral,neutral,sd,sd,na,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Joey',6,"b'Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven\xc2\x92t been able to stand up since.'",fear,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Joey',7,"b'But um, I don\xc2\x92t think it\xc2\x92s anything serious.'",neutral,neutral,sv,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Chandler',8,b'This sounds like a hernia. You have to\xc2\x97you-you go to the doctor!',surprise,negative,sv,sv,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Joey',9,"b'No way! \xc2\x91Kay look, if I have to go to the doctor for anything it\xc2\x92s gonna be for this thing sticking out of my stomach!'",fear,negative,sd,sd,sd,sd,^q,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Chandler',10,b'That\xc2\x92s a hernia.',disgust,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Joey',11,b'Why did I have to start working out again?  Damn you 15s!',anger,negative,qy,qy,^q,qw,qy,xx,AllNotMatch,NotConMatch,NotMatch
b'Mona',0,b'I love your place! Where is this guy from?',joy,positive,sd,sd,sd,qw,qy,xx,AllNotMatch,NotConMatch,NotMatch
b'Ross',1,b'Uh that\xc2\x92s an eighteenth century Indian artifact from Calcutta.',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Mona',2,"b'Oh wow! So, you\xc2\x92re more than just dinosaurs.'",surprise,positive,sv,sd,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ross',3,b'So much more.',neutral,neutral,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ross',0,"b'Well, well to sum up, we\xc2\x92re having fun, you look young.'",neutral,neutral,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Mona',1,b'Okay',neutral,neutral,"fo_o_fw_""_by_bc",bk,b,"fo_o_fw_""_by_bc",b,b,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ross',2,b'But that\xc2\x92s not enough. So\xc2\x85 So\xc2\x85here\xc2\x92s a key to my apartment.',neutral,neutral,sd,sd,sd,bf,bf,bf,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Mona',3,b'Really?!',surprise,positive,bh,qy,bh,bh,br,bh,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ross',4,b'Really.',neutral,neutral,b,b,b,na,ny,b,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Mona',5,b'You don\xc2\x92t think this is too fast.',neutral,neutral,sv,qh,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ross',0,b'Get Out!',anger,negative,^2,ad,bf,ad,sd,ad,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Charlie',1,"b'Ross, can I talk to you for a minute?'",neutral,neutral,qy,qy,qy,ad,qy,qy,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ross',2,"b""Yes, please!  So, what's going on?""",neutral,neutral,qw,qh,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Charlie',3,"b'Uh, well... Joey and I broke up.'",sadness,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ross',4,"b'Oh my God, wh-what happened?'",surprise,negative,qw,ba,qw,sd,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Charlie',5,"b""Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!""",sadness,negative,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ross',6,b'I knew that was him!',anger,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Charlie',7,"b""Anyway I just, uh, I think it's for the best.""",sadness,negative,sv,sd,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ross',8,"b'Hey, you ok?'",neutral,neutral,qy,qy,qy,qy,bh,qy,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Charlie',9,b'I guess.',sadness,negative,sd,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Charlie',10,b'There was hum...  there was another reason that I thought it was time to end it with Joey.',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Charlie',11,b'I started to realize that I was having feelings for someone  else.',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Paleontologist',12,"b'Ok Geller. Last day of the conference, you know what happens to the keynote speaker.'",neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ross',13,"b""Oh, professor Clerk we're kind of in the middle of a conversation, here.""",neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Charlie',14,"b'Yeah, can you guys just throw him in the pool later?'",neutral,neutral,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Professore Clerk',15,b'Or we could throw you both in',joy,positive,sv,sv,bf,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ross',16,"b'Ok, gentlemen!'",anger,negative,b,qy,ba,fc,ba,ba,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ross',17,b'Please!',anger,negative,ba,ad,bd,fc,fc,fc,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ross',18,"b""Aren't we a little old for this?""",anger,negative,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ross',19,"b""I mean, we're scientists, right?""",neutral,neutral,sv,qy,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ross',20,"b""We're academics.""",anger,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ross',21,b'And most importantly I... you-you will have to catch us first.',joy,positive,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ross',22,"b'GO, GO, GO!'",joy,positive,fc,ad,fc,ad,ba,xx,AllNotMatch,NotConMatch,NotMatch
b'Ross',0,"b'Go, go, go!'",joy,positive,ad,ad,ad,ad,ad,ad,AllMatch,NotConMatch,NotMatch
b'Rachel',1,"b'Oh yeah, now everybody wants to be under this hat!'",joy,positive,sv,sv,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Phoebe',2,b'Oy!!',disgust,negative,ba,br,ba,sv,^2,ba,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Monica',3,b'What\xc2\x92s with all this sand?',surprise,negative,qy^d,qy,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Phoebe',4,"b'Oh, yeah, Bob said there might be flood damage.'",neutral,neutral,sd,sv,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ross',5,"b'Yeah, either that, or he has a really big cat.'",neutral,neutral,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Joey',0,"b""Okay, see that blind guy right there? I'm gonna bash his head in later.""",anger,negative,sd,sd,sd,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Joey',1,"b'Oh umm, my big scene is coming up. Big scene coming up.'",joy,positive,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
